TransactionID,CustomerID,BankID_Sent,BankID_Received,DateID,TransactionTypeID,FraudID,Amount,Status,PaymentMode
TXN000001,12,17,8,144,2,1,33193.89,Success,QR Code
TXN000002,41,7,17,1027,2,1,53429.87,Success,QR Code
TXN000003,102,19,19,281,2,1,43059.86,Success,Phone Number
TXN000004,28,5,13,397,1,1,46546.8,Success,Phone Number
TXN000005,31,13,1,673,2,1,58315.48,Success,UPI ID
TXN000006,114,8,12,908,1,1,60972.87,Success,UPI ID
TXN000007,87,15,18,1550,1,1,67242.76,Success,QR Code
TXN000008,18,17,3,2106,1,1,20189.11,Success,QR Code
TXN000009,70,1,3,1295,2,1,32364.34,Success,Phone Number
TXN000010,5,11,5,453,1,2,4869.12,Success,Phone Number
TXN000011,134,1,9,1673,2,1,64172.86,Success,UPI ID
TXN000012,30,2,7,252,2,1,7250.37,Success,QR Code
TXN000013,117,3,17,18,2,4,27981.29,Success,QR Code
TXN000014,39,17,13,1214,2,1,67714.7,Failed,QR Code
TXN000015,111,9,15,1039,2,1,48374.61,Success,QR Code
TXN000016,11,2,13,656,2,1,21578.37,Success,QR Code
TXN000017,73,8,12,805,2,1,6594.53,Success,QR Code
TXN000018,82,19,11,1626,2,1,18057.45,Success,QR Code
TXN000019,149,12,7,1247,2,1,36437.59,Success,QR Code
TXN000020,131,10,12,812,1,1,29501.26,Success,QR Code
TXN000021,149,10,9,2127,2,1,21842.67,Failed,QR Code
TXN000022,39,10,14,1360,2,1,1693.41,Success,Phone Number
TXN000023,95,6,15,1368,2,1,12176.38,Failed,QR Code
TXN000024,50,6,5,831,2,1,20714.69,Success,UPI ID
TXN000025,116,11,8,351,2,1,28895.64,Success,Phone Number
TXN000026,89,4,5,376,2,1,32548.14,Success,QR Code
TXN000027,127,5,11,988,2,1,21021.16,Success,QR Code
TXN000028,22,14,1,578,1,2,11426.28,Success,QR Code
TXN000029,39,5,7,1309,2,1,51498.98,Success,QR Code
TXN000030,53,10,14,1768,2,1,43219.17,Success,UPI ID
TXN000031,20,14,9,1189,2,1,27420.66,Success,QR Code
TXN000032,78,11,11,301,2,1,325.82,Success,UPI ID
TXN000033,125,10,12,523,2,1,43452.21,Success,QR Code
TXN000034,119,10,8,1813,2,1,23027.99,Success,QR Code
TXN000035,6,12,1,1445,2,1,54132.74,Success,UPI ID
TXN000036,71,6,12,1908,2,2,49782.95,Success,Phone Number
TXN000037,135,12,18,253,1,3,19026.22,Success,UPI ID
TXN000038,106,13,18,2066,2,1,10239.15,Success,QR Code
TXN000039,98,11,7,70,2,1,3402.7,Success,Phone Number
TXN000040,24,5,11,1353,2,3,21779.72,Success,QR Code
TXN000041,79,13,17,1004,1,1,73326.23,Failed,UPI ID
TXN000042,86,2,20,1808,1,1,911.09,Success,QR Code
TXN000043,62,12,9,1196,2,2,11752.52,Failed,QR Code
TXN000044,80,2,4,1673,2,1,359.88,Success,QR Code
TXN000045,55,4,3,986,1,3,64541.84,Success,QR Code
TXN000046,119,20,20,1138,1,2,72913.28,Success,Phone Number
TXN000047,57,8,15,673,2,1,67508.83,Success,UPI ID
TXN000048,65,17,8,1870,2,1,67763.44,Success,UPI ID
TXN000049,131,4,3,1675,2,2,7685.82,Success,QR Code
TXN000050,87,17,16,1123,2,1,5504.47,Success,QR Code
TXN000051,148,20,10,1864,2,1,63993.04,Success,QR Code
TXN000052,134,4,2,95,1,1,43121.9,Success,Phone Number
TXN000053,16,11,5,1695,2,2,57780.34,Success,UPI ID
TXN000054,125,2,7,42,2,2,28394.21,Success,QR Code
TXN000055,71,9,17,2083,2,1,64536.38,Success,QR Code
TXN000056,13,16,12,1786,2,1,3055.88,Success,Phone Number
TXN000057,142,19,7,1612,2,1,58768.8,Success,UPI ID
TXN000058,22,4,16,866,2,1,52713.25,Success,UPI ID
TXN000059,149,8,3,2093,2,3,36800.16,Success,QR Code
TXN000060,15,12,20,1007,2,1,59789.68,Success,Phone Number
TXN000061,20,20,18,1604,2,3,51269.78,Success,QR Code
TXN000062,60,16,19,1660,2,1,46096.99,Success,QR Code
TXN000063,34,15,3,337,2,1,63679.32,Success,QR Code
TXN000064,12,1,6,712,2,1,36847.56,Success,UPI ID
TXN000065,105,16,1,1775,2,1,132.21,Success,QR Code
TXN000066,44,19,3,938,2,2,45107.18,Success,QR Code
TXN000067,132,3,16,333,2,1,19986.95,Success,QR Code
TXN000068,111,11,15,243,1,1,40616.07,Success,QR Code
TXN000069,121,20,13,1286,2,1,24150.59,Success,QR Code
TXN000070,132,17,7,720,1,2,34197.76,Success,Phone Number
TXN000071,47,12,15,1419,2,2,37989.03,Success,QR Code
TXN000072,137,5,11,1870,2,1,21096.84,Success,QR Code
TXN000073,10,8,17,1822,2,2,44211.52,Success,QR Code
TXN000074,142,3,7,1987,2,2,9209.29,Success,UPI ID
TXN000075,121,3,18,1034,1,4,61382.02,Success,QR Code
TXN000076,80,10,8,563,2,1,3643.68,Success,QR Code
TXN000077,134,2,16,628,2,1,26277.34,Success,UPI ID
TXN000078,63,6,9,404,2,1,71337.98,Success,UPI ID
TXN000079,26,7,1,796,2,1,66438.3,Success,UPI ID
TXN000080,123,3,6,948,2,4,44133.56,Success,QR Code
TXN000081,44,2,13,886,2,1,46014.1,Success,Phone Number
TXN000082,47,4,4,896,1,2,46965.05,Success,QR Code
TXN000083,69,1,10,144,1,1,59668.03,Success,QR Code
TXN000084,109,12,2,996,2,3,8776.6,Success,UPI ID
TXN000085,70,13,10,391,2,2,24463.73,Success,QR Code
TXN000086,42,1,13,1273,2,4,37180.26,Success,Phone Number
TXN000087,143,7,9,1225,2,3,36314.89,Success,QR Code
TXN000088,124,19,8,1046,1,1,61016.03,Success,Phone Number
TXN000089,132,11,7,1278,2,1,25085.88,Success,QR Code
TXN000090,116,1,20,798,2,1,24835.61,Success,Phone Number
TXN000091,24,5,12,347,2,1,47729.65,Failed,UPI ID
TXN000092,81,15,9,1537,2,1,44136.93,Success,QR Code
TXN000093,85,20,5,492,2,1,24473.45,Success,Phone Number
