BankID,BankName,BankType,HeadOfficeCity,EstablishedYear
1,State Bank of India,Private,Delhi,1954
2,HDFC Bank,Private,Pune,1977
3,ICICI Bank,Private,Jaipur,1962
4,Axis Bank,Private,Chennai,1999
5,Punjab National Bank,Private,Pune,1904
6,Bank of Baroda,Public,Mumbai,1952
7,Kotak Mahindra Bank,Public,Delhi,1983
8,IDFC First Bank,Public,Delhi,1955
9,Canara Bank,Public,Pune,2005
10,Union Bank of India,Private,Lucknow,2003
11,Indian Bank,Public,Chennai,1911
12,Yes Bank,Private,Kolkata,1946
13,IndusInd Bank,Private,Mumbai,1939
14,Federal Bank,Public,Delhi,1992
15,Central Bank of India,Private,Hyderabad,1934
16,UCO Bank,Public,Pune,1954
17,Bandhan Bank,Public,Mumbai,1949
18,RBL Bank,Private,Lucknow,2001
19,South Indian Bank,Public,Delhi,2014
20,Karnataka Bank,Private,Chennai,1911
