Product_Key,Product_Name,Brand,Gender,Size,Color
1,Handbags,Fastrack,Women,M,Pink
2,Kids Dresses,Anouk,Kids,L,Blue
3,Bedsheets,Mast & Harbour,Home,XS,Green
4,Kids Jeans,Maybelline,Kids,XXL,White
5,Tops,Lakme,Women,XL,Black
6,Kurtas,Levis,Women,S,Yellow
7,Moisturizer,HRX,Beauty,XS,Green
8,Lipstick,Nike,Beauty,Free Size,Beige
9,Kids Jeans,Maybelline,Kids,XXL,Beige
10,Kurtas,Roadster,Women,M,Grey
11,T-Shirts,DressBerry,Men,XS,Black
12,Handbags,Allen Solly,Women,XL,Red
13,Kurtas,Nike,Women,L,Yellow
14,Bedsheets,H&M,Home,S,Black
15,Wall Decor,WROGN,Home,M,Black
16,Kids Dresses,Mast & Harbour,Kids,XXL,Green
17,Kids Jeans,Roadster,Kids,M,White
18,Kids Shoes,Allen Solly,Kids,XXL,Blue
19,Bedsheets,Roadster,Home,Free Size,Pink
20,Sarees,Allen Solly,Women,XL,Beige
21,Sports Shoes,Levis,Men,Free Size,White
22,Kids Shoes,Nike,Kids,M,Green
23,Trousers,HERE&NOW,Men,L,Blue
24,Sarees,WROGN,Women,XS,White
25,Kids Jeans,Maybelline,Kids,M,Green
26,Tops,HERE&NOW,Women,Free Size,Pink
27,Shirts,Adidas,Men,L,White
28,Dresses,H&M,Women,XL,Blue
29,Sarees,Puma,Women,L,Yellow
30,Sarees,HERE&NOW,Women,Free Size,Green
31,Kids Shoes,Nike,Kids,L,Yellow
32,Heels,Fastrack,Women,L,Green
33,Shirts,Adidas,Men,S,Black
34,Sports Shoes,Puma,Men,XXL,Red
35,Bedsheets,DressBerry,Home,XL,White
36,Trousers,Puma,Men,XXL,Green
37,Sports Shoes,Maybelline,Men,XS,Black
38,Kurtas,H&M,Women,S,Grey
39,Sports Shoes,Nike,Men,XL,Pink
40,Dresses,H&M,Women,XL,Green
41,Handbags,HERE&NOW,Women,XXL,Black
42,Sarees,Adidas,Women,XS,Beige
43,Dresses,Mast & Harbour,Women,XS,Pink
44,Sarees,Mast & Harbour,Women,S,Blue
45,Jeans,Anouk,Men,M,Blue
46,Sarees,Maybelline,Women,S,Yellow
47,Watches,H&M,Men,XXL,Beige
48,Kids Dresses,H&M,Kids,M,Yellow
49,Kurtas,WROGN,Women,Free Size,Pink
50,Kids T-Shirts,Levis,Kids,XS,Green
51,Trousers,Lakme,Men,Free Size,Pink
52,Face Wash,Lakme,Beauty,XXL,Red
53,Kids Jeans,Fastrack,Kids,XXL,White
54,Trousers,HRX,Men,XXL,Green
55,Jeans,Mast & Harbour,Men,XL,Blue
56,Tops,Nike,Women,Free Size,Black
57,Perfume,Lakme,Beauty,Free Size,Black
58,Moisturizer,Maybelline,Beauty,M,Black
59,Tops,Maybelline,Women,L,Green
60,Bath Towels,Anouk,Home,Free Size,Grey
61,Bath Towels,Allen Solly,Home,XXL,Beige
62,Shirts,Lakme,Men,XL,Yellow
63,T-Shirts,Mast & Harbour,Men,XXL,Grey
64,Sports Shoes,Puma,Men,XS,Red
65,Sports Shoes,Puma,Men,XL,Grey
66,Dresses,Fastrack,Women,S,Blue
67,Tops,Allen Solly,Women,M,Blue
68,Kids Shoes,Allen Solly,Kids,S,Beige
69,Kids T-Shirts,Mast & Harbour,Kids,XL,Green
70,Handbags,Levis,Women,S,Blue
71,Kids Dresses,Maybelline,Kids,Free Size,Green
72,Bedsheets,Adidas,Home,XL,Yellow
73,Tops,Maybelline,Women,XL,Red
74,Jeans,Puma,Men,S,Red
75,Dresses,Roadster,Women,XS,Grey
76,Jeans,HRX,Men,XL,Black
77,Tops,Lakme,Women,L,Yellow
78,Shirts,Allen Solly,Men,S,Beige
79,Kids Jeans,WROGN,Kids,M,Green
80,Kids Jeans,WROGN,Kids,Free Size,Blue
81,Sports Shoes,Maybelline,Men,L,Yellow
82,Tops,HERE&NOW,Women,XL,Yellow
83,Kids Jeans,H&M,Kids,XS,Beige
84,Handbags,Fastrack,Women,M,Grey
85,T-Shirts,Nike,Men,XXL,Grey
86,Trousers,Lakme,Men,XS,Grey
87,Kids Dresses,Puma,Kids,XL,Black
88,Handbags,Mast & Harbour,Women,M,Yellow
89,Sports Shoes,Adidas,Men,S,Green
90,Trousers,HRX,Men,XL,Blue
91,Perfume,Nike,Beauty,L,Black
