DateID,FullDate,Year,Month,Quarter
1,2020-01-01,2020,1,1
2,2020-01-02,2020,1,1
3,2020-01-03,2020,1,1
4,2020-01-04,2020,1,1
5,2020-01-05,2020,1,1
6,2020-01-06,2020,1,1
7,2020-01-07,2020,1,1
8,2020-01-08,2020,1,1
9,2020-01-09,2020,1,1
10,2020-01-10,2020,1,1
11,2020-01-11,2020,1,1
12,2020-01-12,2020,1,1
13,2020-01-13,2020,1,1
14,2020-01-14,2020,1,1
15,2020-01-15,2020,1,1
16,2020-01-16,2020,1,1
17,2020-01-17,2020,1,1
18,2020-01-18,2020,1,1
19,2020-01-19,2020,1,1
20,2020-01-20,2020,1,1
21,2020-01-21,2020,1,1
22,2020-01-22,2020,1,1
23,2020-01-23,2020,1,1
24,2020-01-24,2020,1,1
25,2020-01-25,2020,1,1
26,2020-01-26,2020,1,1
27,2020-01-27,2020,1,1
28,2020-01-28,2020,1,1
29,2020-01-29,2020,1,1
30,2020-01-30,2020,1,1
31,2020-01-31,2020,1,1
32,2020-02-01,2020,2,1
33,2020-02-02,2020,2,1
34,2020-02-03,2020,2,1
35,2020-02-04,2020,2,1
36,2020-02-05,2020,2,1
37,2020-02-06,2020,2,1
38,2020-02-07,2020,2,1
39,2020-02-08,2020,2,1
40,2020-02-09,2020,2,1
41,2020-02-10,2020,2,1
42,2020-02-11,2020,2,1
43,2020-02-12,2020,2,1
44,2020-02-13,2020,2,1
45,2020-02-14,2020,2,1
46,2020-02-15,2020,2,1
47,2020-02-16,2020,2,1
48,2020-02-17,2020,2,1
49,2020-02-18,2020,2,1
50,2020-02-19,2020,2,1
51,2020-02-20,2020,2,1
52,2020-02-21,2020,2,1
53,2020-02-22,2020,2,1
54,2020-02-23,2020,2,1
55,2020-02-24,2020,2,1
56,2020-02-25,2020,2,1
57,2020-02-26,2020,2,1
58,2020-02-27,2020,2,1
59,2020-02-28,2020,2,1
60,2020-02-29,2020,2,1
61,2020-03-01,2020,3,1
62,2020-03-02,2020,3,1
63,2020-03-03,2020,3,1
64,2020-03-04,2020,3,1
65,2020-03-05,2020,3,1
66,2020-03-06,2020,3,1
67,2020-03-07,2020,3,1
68,2020-03-08,2020,3,1
69,2020-03-09,2020,3,1
70,2020-03-10,2020,3,1
71,2020-03-11,2020,3,1
72,2020-03-12,2020,3,1
73,2020-03-13,2020,3,1
74,2020-03-14,2020,3,1
75,2020-03-15,2020,3,1
76,2020-03-16,2020,3,1
77,2020-03-17,2020,3,1
78,2020-03-18,2020,3,1
79,2020-03-19,2020,3,1
80,2020-03-20,2020,3,1
81,2020-03-21,2020,3,1
82,2020-03-22,2020,3,1
83,2020-03-23,2020,3,1
84,2020-03-24,2020,3,1
85,2020-03-25,2020,3,1
86,2020-03-26,2020,3,1
87,2020-03-27,2020,3,1
88,2020-03-28,2020,3,1
89,2020-03-29,2020,3,1
90,2020-03-30,2020,3,1
91,2020-03-31,2020,3,1
92,2020-04-01,2020,4,2
93,2020-04-02,2020,4,2
94,2020-04-03,2020,4,2
95,2020-04-04,2020,4,2
96,2020-04-05,2020,4,2
97,2020-04-06,2020,4,2
98,2020-04-07,2020,4,2
99,2020-04-08,2020,4,2
100,2020-04-09,2020,4,2
101,2020-04-10,2020,4,2
102,2020-04-11,2020,4,2
103,2020-04-12,2020,4,2
104,2020-04-13,2020,4,2
105,2020-04-14,2020,4,2
106,2020-04-15,2020,4,2
107,2020-04-16,2020,4,2
108,2020-04-17,2020,4,2
109,2020-04-18,2020,4,2
110,2020-04-19,2020,4,2
111,2020-04-20,2020,4,2
112,2020-04-21,2020,4,2
113,2020-04-22,2020,4,2
114,2020-04-23,2020,4,2
115,2020-04-24,2020,4,2
116,2020-04-25,2020,4,2
117,2020-04-26,2020,4,2
118,2020-04-27,2020,4,2
119,2020-04-28,2020,4,2
120,2020-04-29,2020,4,2
121,2020-04-30,2020,4,2
122,2020-05-01,2020,5,2
123,2020-05-02,2020,5,2
124,2020-05-03,2020,5,2
125,2020-05-04,2020,5,2
126,2020-05-05,2020,5,2
127,2020-05-06,2020,5,2
128,2020-05-07,2020,5,2
129,2020-05-08,2020,5,2
130,2020-05-09,2020,5,2
131,2020-05-10,2020,5,2
132,2020-05-11,2020,5,2
133,2020-05-12,2020,5,2
134,2020-05-13,2020,5,2
135,2020-05-14,2020,5,2
136,2020-05-15,2020,5,2
137,2020-05-16,2020,5,2
138,2020-05-17,2020,5,2
139,2020-05-18,2020,5,2
140,2020-05-19,2020,5,2
141,2020-05-20,2020,5,2
142,2020-05-21,2020,5,2
143,2020-05-22,2020,5,2
144,2020-05-23,2020,5,2
145,2020-05-24,2020,5,2
146,2020-05-25,2020,5,2
147,2020-05-26,2020,5,2
148,2020-05-27,2020,5,2
149,2020-05-28,2020,5,2
150,2020-05-29,2020,5,2
151,2020-05-30,2020,5,2
152,2020-05-31,2020,5,2
153,2020-06-01,2020,6,2
154,2020-06-02,2020,6,2
155,2020-06-03,2020,6,2
156,2020-06-04,2020,6,2
157,2020-06-05,2020,6,2
158,2020-06-06,2020,6,2
159,2020-06-07,2020,6,2
160,2020-06-08,2020,6,2
161,2020-06-09,2020,6,2
162,2020-06-10,2020,6,2
163,2020-06-11,2020,6,2
164,2020-06-12,2020,6,2
165,2020-06-13,2020,6,2
